Table Name,Field Name,Data Source,API Endpoint,API Response Path,Transformation,Required
users,id,Internal,N/A,N/A,CUID generated by Prisma,Always
users,email,User Input,N/A,N/A,From signup form,Always
users,passwordHash,Internal,N/A,N/A,bcrypt hash of user password,Always
users,companyName,User Input,N/A,N/A,From signup form,Always
users,position,User Input,N/A,N/A,From signup form,Always
users,phoneNumber,User Input,N/A,N/A,From signup form,Always
users,profilePictureUrl,User Input,N/A,N/A,From profile update form,Optional
users,bio,User Input,N/A,N/A,From profile update form,Optional
users,emailVerified,Internal,N/A,N/A,Set to true after email verification,Default: false
users,createdAt,Internal,N/A,N/A,Auto-generated timestamp,Always
users,updatedAt,Internal,N/A,N/A,Auto-updated on changes,Always
users,lastLogin,Internal,N/A,N/A,Updated on successful login,Optional
sessions,id,Internal,N/A,N/A,CUID generated by Prisma,Always
sessions,userId,Internal,N/A,N/A,Reference to users.id,Always
sessions,tokenHash,Internal,N/A,N/A,Hashed JWT token,Always
sessions,expiresAt,Internal,N/A,N/A,Calculated (current time + 15 minutes),Always
sessions,createdAt,Internal,N/A,N/A,Auto-generated timestamp,Always
sessions,isActive,Internal,N/A,N/A,Default: true,Default: true
email_verifications,id,Internal,N/A,N/A,CUID generated by Prisma,Always
email_verifications,userId,Internal,N/A,N/A,Reference to users.id,Always
email_verifications,token,Internal,N/A,N/A,Random token generated,Always
email_verifications,expiresAt,Internal,N/A,N/A,Calculated (current time + 24 hours),Always
email_verifications,createdAt,Internal,N/A,N/A,Auto-generated timestamp,Always
serp_jobs,id,Internal,N/A,N/A,CUID generated by Prisma,Always
serp_jobs,userId,Internal,N/A,N/A,From authenticated user session,Always
serp_jobs,keyword,User Input,N/A,N/A,From search form (e.g. "dental clinic"),Always
serp_jobs,location,User Input,N/A,N/A,From search form (e.g. "St. Louis MO"),Optional
serp_jobs,language,User Input,N/A,N/A,From search form default: "English",Default: "English"
serp_jobs,device,User Input,N/A,N/A,From search form default: "desktop",Default: "desktop"
serp_jobs,os,User Input,N/A,N/A,From search form default: "windows",Default: "windows"
serp_jobs,searchEngine,Internal,N/A,N/A,Default: "google",Default: "google"
serp_jobs,searchType,Internal,N/A,N/A,Set based on API called: "maps" "local_pack" "organic",Default: "organic"
serp_jobs,status,Internal,N/A,N/A,State machine: "pending" -> "processing" -> "completed"/"failed",Default: "pending"
serp_jobs,dataforseoTaskId,DataForSEO API,POST /v3/serp/google/maps/live/advanced,tasks[0].id,From DataForSEO task response (if async),Optional
serp_jobs,cost,Internal Calculation,N/A,N/A,Calculated: 0.002 * number_of_api_calls,Optional
serp_jobs,resultsCount,Internal Calculation,N/A,N/A,Count of serp_results created,Optional
serp_jobs,errorMessage,Internal,N/A,N/A,Error message if job fails,Optional
serp_jobs,createdAt,Internal,N/A,N/A,Auto-generated timestamp,Always
serp_jobs,updatedAt,Internal,N/A,N/A,Auto-updated on changes,Always
serp_jobs,completedAt,Internal,N/A,N/A,Set when status changes to "completed",Optional
serp_results,id,Internal,N/A,N/A,CUID generated by Prisma,Always
serp_results,serpJobId,Internal,N/A,N/A,Reference to serp_jobs.id,Always
serp_results,rankGroup,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].rank_group,Direct mapping,Always
serp_results,rankGroup,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].rank_group,Direct mapping,Always
serp_results,rankGroup,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].rank_group,Direct mapping,Always
serp_results,rankAbsolute,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].rank_absolute,Direct mapping,Always
serp_results,rankAbsolute,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].rank_absolute,Direct mapping,Always
serp_results,rankAbsolute,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].rank_absolute,Direct mapping,Always
serp_results,page,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].page,Direct mapping default: 1,Default: 1
serp_results,position,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].position,Direct mapping,Optional
serp_results,position,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].position,Direct mapping,Optional
serp_results,resultType,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].type,Normalized: "maps_search" -> "maps",Always
serp_results,resultType,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].type,Normalized: "local_pack_search" -> "local_pack",Always
serp_results,resultType,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].type,Direct mapping: "organic",Always
serp_results,title,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].title,Direct mapping,Optional
serp_results,title,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].title,Direct mapping,Optional
serp_results,title,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].title,Direct mapping,Optional
serp_results,description,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].description,Direct mapping,Optional
serp_results,url,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].url,Direct mapping,Optional
serp_results,url,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].url,Direct mapping,Optional
serp_results,url,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].url,Direct mapping,Optional
serp_results,domain,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].domain,Direct mapping,Optional
serp_results,domain,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].domain,Direct mapping,Optional
serp_results,domain,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].domain,Direct mapping,Optional
serp_results,websiteName,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].website_name,Direct mapping,Optional
serp_results,phone,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].phone,Direct mapping,Optional
serp_results,phone,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].phone,Direct mapping,Optional
serp_results,address,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].address,Direct mapping,Optional
serp_results,address,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].address,Direct mapping,Optional
serp_results,city,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].address_info.city,Direct mapping,Optional
serp_results,city,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].address_info.city,Direct mapping,Optional
serp_results,state,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].address_info.region,Direct mapping,Optional
serp_results,state,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].address_info.region,Direct mapping,Optional
serp_results,zipCode,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].address_info.postal_code,Direct mapping,Optional
serp_results,zipCode,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].address_info.postal_code,Direct mapping,Optional
serp_results,country,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].address_info.country_code,Direct mapping,Optional
serp_results,country,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].address_info.country_code,Direct mapping,Optional
serp_results,rating,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].rating.value,Direct mapping,Optional
serp_results,rating,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].rating.value,Direct mapping,Optional
serp_results,reviewsCount,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].rating.votes_count,Direct mapping,Optional
serp_results,reviewsCount,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].rating.votes_count,Direct mapping,Optional
serp_results,ratingMax,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].rating.max,Direct mapping,Optional
serp_results,ratingMax,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].rating.max,Direct mapping,Optional
serp_results,isPaid,Ads Advertisers API,POST /v3/serp/google/ads_advertisers/live/advanced,N/A,Calculated: domain matches advertiser domain,Default: false
serp_results,isPaid,Ads Search API,POST /v3/serp/google/ads_search/live/advanced,tasks[0].result[0].items[].type === "ads_search",Check if domain has ads,Default: false
serp_results,isFeatured,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].is_featured,Direct mapping,Default: false
serp_results,isImage,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].is_image,Direct mapping,Default: false
serp_results,isVideo,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].is_video,Direct mapping,Default: false
serp_results,isMalicious,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].is_malicious,Direct mapping,Default: false
serp_results,breadcrumb,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].breadcrumb,Direct mapping,Optional
serp_results,cacheUrl,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].cache_url,Direct mapping,Optional
serp_results,relatedSearchUrl,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].related_search_url,Direct mapping,Optional
serp_results,extendedSnippet,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].extended_snippet,Direct mapping,Optional
serp_results,highlighted,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].highlighted,Stored as JSON array,Optional
serp_results,links,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].links,Stored as JSON,Optional
serp_results,faq,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].faq,Stored as JSON,Optional
serp_results,images,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].images,Stored as JSON,Optional
serp_results,price,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].price,Direct mapping,Optional
serp_results,timestamp,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].timestamp,Direct mapping,Optional
serp_results,xpath,Organic API,POST /v3/serp/google/organic/live/regular,tasks[0].result[0].items[].xpath,Direct mapping,Optional
serp_results,cid,Maps API,POST /v3/serp/google/maps/live/advanced,tasks[0].result[0].items[].cid,Google Customer ID,Optional
serp_results,cid,Local Pack API,POST /v3/serp/google/local_finder/live/advanced,tasks[0].result[0].items[].cid,Google Customer ID,Optional
