Data Field,Route Endpoint,Primary Source,Source Type,Source Location,Update Frequency,Caching Strategy,Description
businessProfileId,/api/serp/search-prospects,Database,Database Table,business_profiles.id,Static,Persistent,Unique identifier for business profile
name,/api/serp/search-prospects,Database,Database Table,business_profiles.name or serp_results.title,Static,Persistent,Business name
domain,/api/serp/search-prospects,Database,Database Table,business_profiles.domain or serp_results.domain,Static,Persistent,Business domain
website,/api/serp/search-prospects,Database,Database Table,business_profiles.websiteUrl or serp_results.url,Static,Persistent,Business website URL
phone,/api/serp/search-prospects,Database,Database Table,business_profiles.phone or serp_results.phone,Static,Persistent,Business phone number
address,/api/serp/search-prospects,Database,Database Table,business_profiles.address or serp_results.address,Static,Persistent,Business address
city,/api/serp/search-prospects,Database,Database Table,business_profiles.city or serp_results.city,Static,Persistent,Business city
state,/api/serp/search-prospects,Database,Database Table,business_profiles.state or serp_results.state,Static,Persistent,Business state
zipCode,/api/serp/search-prospects,Database,Database Table,business_profiles.zipCode or serp_results.zipCode,Static,Persistent,Business ZIP code
rating,/api/serp/search-prospects,Database,Database Table,business_profiles.rating or serp_results.rating,Weekly,Persistent with refresh,Business rating (0-5)
reviewsCount,/api/serp/search-prospects,Database,Database Table,business_profiles.reviewsCount or serp_results.reviewsCount,Weekly,Persistent with refresh,Total number of reviews
placeId,/api/serp/search-prospects,Database,Database Table,business_profiles.placeId or serp_results.placeId,Static,Persistent,Google Place ID
cid,/api/serp/search-prospects,Database,Database Table,business_profiles.cid or serp_results.cid,Static,Persistent,Google CID
isRunningAds,/api/serp/search-prospects,Database,Database Table,business_profiles.isPaid or serp_results.rawData.ads,Weekly,Persistent with refresh,Whether business is running ads
seoScore,/api/serp/search-prospects,Database,Database Table,business_profiles.seoScore,Monthly,Persistent with refresh,Calculated SEO score
domainAuthority,/api/serp/search-prospects,Database,Database Table,business_profiles.domainAuthority,Monthly,Persistent with refresh,Domain authority score
backlinks,/api/serp/search-prospects,Database,Database Table,business_profiles.backlinks,Monthly,Persistent with refresh,Total backlinks count
monthlyTraffic,/api/serp/search-prospects,Database,Database Table,business_profiles.monthlyTraffic,Monthly,Persistent with refresh,Estimated monthly traffic
