Table Name,Field Name,Database Column,Source Type,API Endpoint,API Response Path,Notes
users,id,id,System Generated,N/A,N/A,CUID generated by Prisma
users,email,email,User Input,/api/auth/signup,N/A,Provided during registration
users,passwordHash,password_hash,System Generated,/api/auth/signup,N/A,Bcrypt hash of user password
users,companyName,company_name,User Input,/api/auth/signup,N/A,Provided during registration
users,position,position,User Input,/api/auth/signup,N/A,Provided during registration
users,phoneNumber,phone_number,User Input,/api/auth/signup,N/A,Provided during registration
users,profilePictureUrl,profile_picture_url,User Input,/api/auth/profile (PUT),N/A,Optional updated via profile update
users,bio,bio,User Input,/api/auth/profile (PUT),N/A,Optional updated via profile update
users,emailVerified,email_verified,System Generated,/api/auth/verify-email,N/A,Set to true after email verification
users,createdAt,created_at,System Generated,N/A,N/A,Auto-generated timestamp
users,updatedAt,updated_at,System Generated,N/A,N/A,Auto-updated timestamp
users,lastLogin,last_login,System Generated,/api/auth/login,N/A,Updated on successful login
sessions,id,id,System Generated,N/A,N/A,CUID generated by Prisma
sessions,userId,user_id,System Generated,/api/auth/login,N/A,From authenticated user
sessions,tokenHash,token_hash,System Generated,/api/auth/login,N/A,Hashed JWT token
sessions,expiresAt,expires_at,System Generated,/api/auth/login,N/A,Calculated expiration (15 minutes)
sessions,createdAt,created_at,System Generated,N/A,N/A,Auto-generated timestamp
sessions,isActive,is_active,System Generated,/api/auth/logout,N/A,Set to false on logout
email_verifications,id,id,System Generated,N/A,N/A,CUID generated by Prisma
email_verifications,userId,user_id,System Generated,/api/auth/signup,N/A,From user registration
email_verifications,token,token,System Generated,/api/auth/signup,N/A,Random token generated
email_verifications,expiresAt,expires_at,System Generated,/api/auth/signup,N/A,24 hours from creation
email_verifications,createdAt,created_at,System Generated,N/A,N/A,Auto-generated timestamp
serp_jobs,id,id,System Generated,N/A,N/A,CUID generated by Prisma
serp_jobs,userId,user_id,System Generated,/api/serp/search-prospects,N/A,From authenticated user
serp_jobs,keyword,keyword,User Input,/api/serp/search-prospects,N/A,Search keyword from request
serp_jobs,location,location,User Input,/api/serp/search-prospects,N/A,Search location from request
serp_jobs,language,language,User Input,/api/serp/search-prospects,N/A,Default: "English"
serp_jobs,device,device,User Input,/api/serp/search-prospects,N/A,Default: "desktop"
serp_jobs,os,os,User Input,/api/serp/search-prospects,N/A,Default: "windows"
serp_jobs,searchEngine,search_engine,System Default,/api/serp/search-prospects,N/A,Default: "google"
serp_jobs,searchType,search_type,System Generated,/api/serp/search-prospects,N/A,Set based on API call type: "maps" "local_pack" "organic"
serp_jobs,status,status,System Generated,/api/serp/search-prospects,N/A,"pending" → "processing" → "completed"/"failed"
serp_jobs,dataforseoTaskId,dataforseo_task_id,DataForSEO API,/v3/serp/google/maps/live/advanced,tasks[0].task_id,Task ID from DataForSEO response (if async)
serp_jobs,cost,cost,System Calculated,/api/serp/search-prospects,N/A,Calculated: 0.002 per API call
serp_jobs,resultsCount,results_count,System Calculated,/api/serp/search-prospects,N/A,Count of results returned
serp_jobs,errorMessage,error_message,System Generated,/api/serp/search-prospects,N/A,Error message if job fails
serp_jobs,createdAt,created_at,System Generated,N/A,N/A,Auto-generated timestamp
serp_jobs,updatedAt,updated_at,System Generated,N/A,N/A,Auto-updated timestamp
serp_jobs,completedAt,completed_at,System Generated,/api/serp/search-prospects,N/A,Set when status = "completed"
serp_results,id,id,System Generated,N/A,N/A,CUID generated by Prisma
serp_results,serpJobId,serp_job_id,System Generated,/api/serp/search-prospects,N/A,From parent serp_jobs record
serp_results,rankGroup,rank_group,DataForSEO API,/v3/serp/google/maps/live/advanced,result.rank_group,Ranking group number
serp_results,rankAbsolute,rank_absolute,DataForSEO API,/v3/serp/google/maps/live/advanced,result.rank_absolute,Absolute ranking position
serp_results,page,page,DataForSEO API,/v3/serp/google/maps/live/advanced,result.page,Page number or default: 1
serp_results,position,position,DataForSEO API,/v3/serp/google/organic/live/regular,result.position,Position: left right top bottom
serp_results,resultType,result_type,DataForSEO API,/v3/serp/google/maps/live/advanced,result.type,Type: "maps" "local_pack" "organic"
serp_results,title,title,DataForSEO API,/v3/serp/google/maps/live/advanced,result.title,Business name/title
serp_results,description,description,DataForSEO API,/v3/serp/google/organic/live/regular,result.description,Result description
serp_results,url,url,DataForSEO API,/v3/serp/google/maps/live/advanced,result.url,Result URL
serp_results,domain,domain,DataForSEO API,/v3/serp/google/maps/live/advanced,result.domain,Website domain
serp_results,websiteName,website_name,DataForSEO API,/v3/serp/google/organic/live/regular,result.website_name,Website name
serp_results,phone,phone,DataForSEO API,/v3/serp/google/maps/live/advanced,result.phone,Business phone number
serp_results,address,address,DataForSEO API,/v3/serp/google/maps/live/advanced,result.address,Business address
serp_results,city,city,DataForSEO API,/v3/serp/google/maps/live/advanced,result.address_info.city,City
serp_results,state,state,DataForSEO API,/v3/serp/google/maps/live/advanced,result.address_info.region,State
serp_results,zipCode,zip_code,DataForSEO API,/v3/serp/google/maps/live/advanced,result.address_info.postal_code,ZIP code
serp_results,country,country,DataForSEO API,/v3/serp/google/maps/live/advanced,result.address_info.country_code,Country
serp_results,rating,rating,DataForSEO API,/v3/serp/google/maps/live/advanced,result.rating.value,Business rating (e.g. 4.5)
serp_results,reviewsCount,reviews_count,DataForSEO API,/v3/serp/google/maps/live/advanced,result.rating.votes_count,Number of reviews
serp_results,ratingMax,rating_max,DataForSEO API,/v3/serp/google/maps/live/advanced,result.rating.max,Maximum rating (usually 5)
