Business Profile Data Field,Feature/Tab,Source,EndPoint,Live API Method - API Endpoint,Live API Method - Code Location,Live API Method - Calculation/Extraction,Database-Only Method - Table/Field,Database-Only Method - Code Location,Database-Only Method - Calculation/Extraction,Data Collection APIs (collect-spine-data.ts),Notes
name,Business Card,DataForSEO API,advanced,POST /v3/serp/google/maps/live/advanced,server/routes/serp-intelligence.ts:384-388,tasks[0].result[0].items[].title - Direct mapping from Maps API response,business_profiles.name,server/routes/serp-intelligence.ts:1023-1043,Direct field access from business_profiles table. Fallback: serp_results.title from rawData,"Phase 1: POST /v3/serp/google/maps/live/advanced (getMapsResults), POST /v3/serp/google/local_finder/live/advanced (getLocalPackResults), POST /v3/business_data/business_listings/search/live (getBusinessListings)",Basic info - rarely changes
domain,Business Card,DataForSEO API,advanced,POST /v3/serp/google/maps/live/advanced,server/routes/serp-intelligence.ts:384-388,tasks[0].result[0].items[].domain - Direct extraction from API response,business_profiles.domain,server/routes/serp-intelligence.ts:1023-1043,Direct field access. Fallback: Extracted from websiteUrl if needed,"Phase 1: POST /v3/serp/google/maps/live/advanced (getMapsResults), POST /v3/serp/google/local_finder/live/advanced (getLocalPackResults), POST /v3/business_data/business_listings/search/live (getBusinessListings)",Basic info - rarely changes
websiteUrl,Business Card,DataForSEO API,advanced,POST /v3/serp/google/maps/live/advanced,server/routes/serp-intelligence.ts:384-388,tasks[0].result[0].items[].url - Direct mapping,business_profiles.websiteUrl,server/routes/serp-intelligence.ts:1023-1043,Direct field access from business_profiles table,"Phase 1: POST /v3/serp/google/maps/live/advanced (getMapsResults), POST /v3/serp/google/local_finder/live/advanced (getLocalPackResults), POST /v3/business_data/business_listings/search/live (getBusinessListings)",Basic info - rarely changes
phone,Business Card,DataForSEO API,advanced,POST /v3/serp/google/maps/live/advanced,server/routes/serp-intelligence.ts:384-388,tasks[0].result[0].items[].phone - Direct mapping,business_profiles.phone,server/routes/serp-intelligence.ts:1023-1043,Direct field access from business_profiles table,"Phase 1: POST /v3/serp/google/maps/live/advanced (getMapsResults), POST /v3/serp/google/local_finder/live/advanced (getLocalPackResults), POST /v3/business_data/business_listings/search/live (getBusinessListings). Phase 2: POST /v3/business_data/google/my_business_info/live (getGoogleMyBusinessInfo)",Basic info - rarely changes
address,Business Card,DataForSEO API,advanced,POST /v3/serp/google/maps/live/advanced,server/routes/serp-intelligence.ts:384-388,tasks[0].result[0].items[].address - Direct mapping,business_profiles.address,server/routes/serp-intelligence.ts:1023-1043,Direct field access from business_profiles table,"Phase 1: POST /v3/serp/google/maps/live/advanced (getMapsResults), POST /v3/serp/google/local_finder/live/advanced (getLocalPackResults). Phase 2: POST /v3/business_data/google/my_business_info/live (getGoogleMyBusinessInfo)",Basic info - rarely changes
city,Business Card,DataForSEO API,advanced,POST /v3/serp/google/maps/live/advanced,server/routes/serp-intelligence.ts:384-388,tasks[0].result[0].items[].address_info.city - Direct mapping,business_profiles.city,server/routes/serp-intelligence.ts:1023-1043,Direct field access from business_profiles table,"Phase 1: POST /v3/serp/google/maps/live/advanced (getMapsResults), POST /v3/serp/google/local_finder/live/advanced (getLocalPackResults). Phase 2: POST /v3/business_data/google/my_business_info/live (getGoogleMyBusinessInfo)",Basic info - rarely changes
state,Business Card,DataForSEO API,advanced,POST /v3/serp/google/maps/live/advanced,server/routes/serp-intelligence.ts:384-388,tasks[0].result[0].items[].address_info.region - Direct mapping,business_profiles.state,server/routes/serp-intelligence.ts:1023-1043,Direct field access from business_profiles table,"Phase 1: POST /v3/serp/google/maps/live/advanced (getMapsResults), POST /v3/serp/google/local_finder/live/advanced (getLocalPackResults). Phase 2: POST /v3/business_data/google/my_business_info/live (getGoogleMyBusinessInfo)",Basic info - rarely changes
zipCode,Business Card,DataForSEO API,advanced,POST /v3/serp/google/maps/live/advanced,server/routes/serp-intelligence.ts:384-388,tasks[0].result[0].items[].address_info.postal_code - Direct mapping,business_profiles.zipCode,server/routes/serp-intelligence.ts:1023-1043,Direct field access from business_profiles table,"Phase 1: POST /v3/serp/google/maps/live/advanced (getMapsResults), POST /v3/serp/google/local_finder/live/advanced (getLocalPackResults). Phase 2: POST /v3/business_data/google/my_business_info/live (getGoogleMyBusinessInfo)",Basic info - rarely changes
rating,Business Card + Reputation Tab,DataForSEO API + Google Places API,advanced + details,POST /v3/serp/google/maps/live/advanced,server/routes/serp-intelligence.ts:384-388,tasks[0].result[0].items[].rating.value - Direct mapping,business_profiles.rating,server/routes/serp-intelligence.ts:1023-1043,Direct field access. Fallback: serp_results.rawData.rating,"Phase 1: POST /v3/serp/google/maps/live/advanced (getMapsResults), POST /v3/serp/google/local_finder/live/advanced (getLocalPackResults). Phase 2: GET https://maps.googleapis.com/maps/api/place/details/json (getGooglePlacesReviews)",Can change - consider refresh
reviewsCount,Business Card + Reputation Tab,DataForSEO API + Google Places API,advanced + details,POST /v3/serp/google/maps/live/advanced,server/routes/serp-intelligence.ts:384-388,tasks[0].result[0].items[].rating.votes_count - Direct mapping,business_profiles.reviewsCount,server/routes/serp-intelligence.ts:1023-1043,Direct field access. Fallback: serp_results.rawData.rating.votes_count,"Phase 1: POST /v3/serp/google/maps/live/advanced (getMapsResults), POST /v3/serp/google/local_finder/live/advanced (getLocalPackResults). Phase 2: POST /v3/business_data/google/reviews/task_post (getBusinessReviews), GET https://maps.googleapis.com/maps/api/place/details/json (getGooglePlacesReviews)",Can change - consider refresh
