Table Name,Field Name,Data Source,API Endpoint,API Response Path,Transformation,Required,Storage Location
serp_results,rawData.enriched.gmbInfo,DataForSEO API,POST /v3/business_data/google/my_business_info/live,tasks[0].result[0].items[0],Direct mapping,Yes,rawData.enriched.gmbInfo
serp_results,rawData.enriched.reviews,DataForSEO API,POST /v3/business_data/google/reviews/task_post,tasks[0].result[0].items[],Direct mapping,Yes,rawData.enriched.reviews
serp_results,rawData.enriched.rankedKeywords,DataForSEO API,POST /v3/dataforseo_labs/google/ranked_keywords/live,tasks[0].result[0].items[],Direct mapping,Yes,rawData.enriched.rankedKeywords
serp_results,rawData.enriched.traffic,DataForSEO API,POST /v3/dataforseo_labs/google/bulk_traffic_estimation/live,tasks[0].result[0].items[],Direct mapping,Yes,rawData.enriched.traffic
serp_results,rawData.enriched.onPageResults,DataForSEO API,POST /v3/on_page/task_post → GET /v3/on_page/pages,tasks[0].result[0].items[0],Direct mapping,Yes,rawData.enriched.onPageResults
serp_results,rawData.enriched.onPage,DataForSEO API,POST /v3/on_page/task_post → GET /v3/on_page/pages,tasks[0].result[0].items[0],Direct mapping,Optional,rawData.enriched.onPage
serp_results,rawData.enriched.backlinks,DataForSEO API,POST /v3/backlinks/summary/live,tasks[0].result[0].items[],Direct mapping,Optional,rawData.enriched.backlinks
serp_results,rawData.enriched.domainRank,DataForSEO API,POST /v3/dataforseo_labs/google/domain_rank/live,tasks[0].result[0].items[0],Direct mapping,Yes,rawData.enriched.domainRank
serp_results,rawData.enriched.analytics,HTML Analysis,HTTP GET + detectAnalyticsInHTML(),HTML string parsed,Detected from HTML patterns,Yes,rawData.enriched.analytics
serp_results,rawData.enriched.analytics.googleAnalytics.found,HTML Analysis,detectAnalyticsInHTML(),HTML regex match,Boolean (true if GA detected),Yes,rawData.enriched.analytics.googleAnalytics.found
serp_results,rawData.enriched.analytics.googleAnalytics.type,HTML Analysis,detectAnalyticsInHTML(),HTML regex match,"GA4, UA, or gtag",Optional,rawData.enriched.analytics.googleAnalytics.type
serp_results,rawData.enriched.analytics.googleAnalytics.id,HTML Analysis,detectAnalyticsInHTML(),HTML regex match,Extracted tracking ID,Optional,rawData.enriched.analytics.googleAnalytics.id
serp_results,rawData.enriched.analytics.facebookPixel.found,HTML Analysis,detectAnalyticsInHTML(),HTML regex match,Boolean (true if FB Pixel detected),Yes,rawData.enriched.analytics.facebookPixel.found
serp_results,rawData.enriched.analytics.facebookPixel.id,HTML Analysis,detectAnalyticsInHTML(),HTML regex match,Extracted pixel ID,Optional,rawData.enriched.analytics.facebookPixel.id
serp_results,rawData.enriched.schemas,HTML Analysis,HTTP GET + detectSchemasInHTML(),HTML JSON-LD parsed,Detected schema types object,Yes,rawData.enriched.schemas
serp_results,rawData.enriched.schemas.localBusiness,HTML Analysis,detectSchemasInHTML(),JSON-LD @type check,Boolean,Yes,rawData.enriched.schemas.localBusiness
serp_results,rawData.enriched.schemas.faq,HTML Analysis,detectSchemasInHTML(),JSON-LD @type check,Boolean,Yes,rawData.enriched.schemas.faq
serp_results,rawData.enriched.schemas.organization,HTML Analysis,detectSchemasInHTML(),JSON-LD @type check,Boolean,Yes,rawData.enriched.schemas.organization
serp_results,rawData.enriched.schemas.breadcrumbs,HTML Analysis,detectSchemasInHTML(),JSON-LD @type check,Boolean,Yes,rawData.enriched.schemas.breadcrumbs
serp_results,rawData.enriched.schemas.product,HTML Analysis,detectSchemasInHTML(),JSON-LD @type check,Boolean,Yes,rawData.enriched.schemas.product
serp_results,rawData.enriched.schemas.review,HTML Analysis,detectSchemasInHTML(),JSON-LD @type check,Boolean,Yes,rawData.enriched.schemas.review
serp_results,rawData.enriched.htmlContent,HTTP GET,Direct HTTP request,HTML string,Full HTML content (may be large),Optional,rawData.enriched.htmlContent
serp_results,rawData.enriched.ads,DataForSEO API,POST /v3/serp/google/ads_advertisers/live/advanced,tasks[0].result[0].items[] matched,Advertiser match object,Yes,rawData.enriched.ads
serp_results,rawData.enriched.adsCreatives,DataForSEO API,POST /v3/serp/google/ads_search/live/advanced,tasks[0].result[0].items[],Array of ad creatives,Yes,rawData.enriched.adsCreatives
